Reynolds,NACA 2412 C_l,NACA 2412 C_d,NACA 4412 C_l,NACA 4412 C_d,NACA 23012 C_l,NACA 23012 C_d
3.00E+06,1.1094,0.01001,1.3197,0.01076,1.0581,0.0081
9.00E+06,1.1268,0.00831,1.3413,0.00931,1.0297,0.00661
