NACA 4412                                       
 Alfa =  21.00000 Re =  9000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.20344
   0.99392  0.00292 -0.20547
   0.98333  0.00577 -0.20906
   0.97098  0.00904 -0.21329
   0.95718  0.01262 -0.21810
   0.94237  0.01638 -0.22338
   0.92696  0.02021 -0.22901
   0.91123  0.02403 -0.23490
   0.89533  0.02780 -0.24101
   0.87933  0.03149 -0.24732
   0.86327  0.03511 -0.25384
   0.84718  0.03864 -0.26054
   0.83106  0.04208 -0.26745
   0.81492  0.04544 -0.27455
   0.79875  0.04870 -0.28186
   0.78258  0.05188 -0.28936
   0.76638  0.05496 -0.29707
   0.75017  0.05796 -0.30497
   0.73395  0.06086 -0.31308
   0.71772  0.06368 -0.32139
   0.70148  0.06640 -0.32990
   0.68523  0.06902 -0.33860
   0.66898  0.07155 -0.34750
   0.65272  0.07398 -0.35658
   0.63645  0.07632 -0.36580
   0.62019  0.07855 -0.37512
   0.60392  0.08069 -0.38446
   0.58766  0.08272 -0.39370
   0.57140  0.08465 -0.40255
   0.55514  0.08647 -0.41020
   0.53889  0.08818 -0.41354
   0.52265  0.08978 -0.40592
   0.50642  0.09127 -0.43635
   0.49021  0.09264 -0.48743
   0.47402  0.09390 -0.55573
   0.45785  0.09503 -0.63709
   0.44172  0.09603 -0.72748
   0.42564  0.09690 -0.82383
   0.40965  0.09765 -0.92462
   0.39382  0.09824 -1.03117
   0.37817  0.09865 -1.13530
   0.36263  0.09885 -1.23714
   0.34716  0.09884 -1.33710
   0.33174  0.09863 -1.43569
   0.31639  0.09821 -1.53391
   0.30109  0.09757 -1.63247
   0.28586  0.09672 -1.73132
   0.27069  0.09564 -1.83185
   0.25561  0.09433 -1.93395
   0.24061  0.09280 -2.03941
   0.22571  0.09103 -2.14700
   0.21092  0.08902 -2.25966
   0.19626  0.08678 -2.37716
   0.18175  0.08429 -2.50104
   0.16741  0.08155 -2.63280
   0.15327  0.07856 -2.77379
   0.13937  0.07533 -2.92704
   0.12576  0.07185 -3.09303
   0.11254  0.06815 -3.27845
   0.09978  0.06426 -3.48294
   0.08762  0.06020 -3.71233
   0.07622  0.05606 -3.96956
   0.06572  0.05190 -4.25613
   0.05625  0.04782 -4.57490
   0.04786  0.04389 -4.92492
   0.04055  0.04017 -5.30492
   0.03423  0.03668 -5.71655
   0.02879  0.03343 -6.15579
   0.02411  0.03040 -6.63274
   0.02008  0.02756 -7.13441
   0.01660  0.02489 -7.67894
   0.01357  0.02236 -8.25370
   0.01095  0.01995 -8.85972
   0.00867  0.01764 -9.48340
   0.00671  0.01541-10.14828
   0.00502  0.01324-11.14893
   0.00360  0.01113-12.09984
   0.00242  0.00906-12.54362
   0.00148  0.00703-13.10505
   0.00077  0.00504-13.57636
   0.00029  0.00309-13.79424
   0.00004  0.00120-13.69507
   0.00001 -0.00064-13.30977
   0.00020 -0.00249-12.57277
   0.00065 -0.00436-11.38564
   0.00137 -0.00623 -9.82706
   0.00239 -0.00805 -8.04472
   0.00369 -0.00980 -6.30940
   0.00527 -0.01148 -4.73513
   0.00712 -0.01307 -3.42046
   0.00925 -0.01459 -2.35450
   0.01167 -0.01603 -1.52290
   0.01438 -0.01741 -0.86926
   0.01744 -0.01873 -0.36954
   0.02087 -0.02000  0.01607
   0.02476 -0.02123  0.31078
   0.02916 -0.02242  0.53270
   0.03419 -0.02357  0.69922
   0.03998 -0.02467  0.82010
   0.04667 -0.02572  0.90475
   0.05445 -0.02670  0.95916
   0.06345 -0.02758  0.98915
   0.07377 -0.02833  0.99978
   0.08543 -0.02891  0.99565
   0.09832 -0.02929  0.98130
   0.11223 -0.02947  0.96050
   0.12696 -0.02945  0.93634
   0.14228 -0.02924  0.91097
   0.15806 -0.02887  0.88536
   0.17418 -0.02837  0.86086
   0.19056 -0.02776  0.83717
   0.20714 -0.02707  0.81461
   0.22389 -0.02630  0.79354
   0.24078 -0.02549  0.77340
   0.25777 -0.02465  0.75442
   0.27484 -0.02379  0.73655
   0.29194 -0.02292  0.71925
   0.30901 -0.02207  0.70292
   0.32603 -0.02124  0.68724
   0.34301 -0.02043  0.67187
   0.35994 -0.01967  0.65684
   0.37686 -0.01894  0.64165
   0.39378 -0.01827  0.62602
   0.41076 -0.01762  0.60857
   0.42781 -0.01697  0.59326
   0.44491 -0.01629  0.57853
   0.46204 -0.01560  0.56492
   0.47921 -0.01490  0.55122
   0.49639 -0.01420  0.53797
   0.51357 -0.01350  0.52527
   0.53074 -0.01280  0.51263
   0.54790 -0.01211  0.50003
   0.56503 -0.01143  0.48749
   0.58215 -0.01076  0.47548
   0.59926 -0.01011  0.46284
   0.61635 -0.00947  0.45097
   0.63342 -0.00885  0.43810
   0.65049 -0.00825  0.42580
   0.66755 -0.00768  0.41299
   0.68459 -0.00712  0.39977
   0.70164 -0.00659  0.38694
   0.71867 -0.00608  0.37283
   0.73570 -0.00560  0.35902
   0.75273 -0.00514  0.34424
   0.76976 -0.00471  0.32946
   0.78678 -0.00431  0.31322
   0.80381 -0.00393  0.29734
   0.82084 -0.00357  0.27939
   0.83786 -0.00324  0.26107
   0.85489 -0.00294  0.24094
   0.87190 -0.00266  0.21948
   0.88889 -0.00241  0.19687
   0.90581 -0.00218  0.17070
   0.92258 -0.00197  0.14243
   0.93902 -0.00179  0.11073
   0.95483 -0.00163  0.07421
   0.96953 -0.00150  0.03510
   0.98258 -0.00139 -0.01363
   0.99368 -0.00131 -0.05436
   1.00000 -0.00126 -0.20344
