NACA 4412                                       
 Alfa =  23.00000 Re =  9000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.26817
   0.99392  0.00292 -0.26992
   0.98333  0.00577 -0.27301
   0.97098  0.00904 -0.27666
   0.95718  0.01262 -0.28081
   0.94237  0.01638 -0.28537
   0.92696  0.02021 -0.29024
   0.91123  0.02403 -0.29534
   0.89533  0.02780 -0.30065
   0.87933  0.03149 -0.30616
   0.86327  0.03511 -0.31186
   0.84718  0.03864 -0.31775
   0.83106  0.04208 -0.32386
   0.81492  0.04544 -0.33018
   0.79875  0.04870 -0.33673
   0.78258  0.05188 -0.34352
   0.76638  0.05496 -0.35056
   0.75017  0.05796 -0.35787
   0.73395  0.06086 -0.36544
   0.71772  0.06368 -0.37331
   0.70148  0.06640 -0.38147
   0.68523  0.06902 -0.38993
   0.66898  0.07155 -0.39870
   0.65272  0.07398 -0.40779
   0.63645  0.07632 -0.41720
   0.62019  0.07855 -0.42693
   0.60392  0.08069 -0.43697
   0.58766  0.08272 -0.44731
   0.57140  0.08465 -0.45796
   0.55514  0.08647 -0.46888
   0.53889  0.08818 -0.48008
   0.52265  0.08978 -0.49155
   0.50642  0.09127 -0.50327
   0.49021  0.09264 -0.51520
   0.47402  0.09390 -0.52725
   0.45785  0.09503 -0.53925
   0.44172  0.09603 -0.55087
   0.42564  0.09690 -0.56092
   0.40965  0.09765 -0.56307
   0.39382  0.09824 -0.56671
   0.37817  0.09865 -0.63027
   0.36263  0.09885 -0.72764
   0.34716  0.09884 -0.84717
   0.33174  0.09863 -0.97719
   0.31639  0.09821 -1.11023
   0.30109  0.09757 -1.24225
   0.28586  0.09672 -1.37128
   0.27069  0.09564 -1.49881
   0.25561  0.09433 -1.62507
   0.24061  0.09280 -1.75180
   0.22571  0.09103 -1.87911
   0.21092  0.08902 -2.00981
   0.19626  0.08678 -2.14398
   0.18175  0.08429 -2.28384
   0.16741  0.08155 -2.43148
   0.15327  0.07856 -2.58739
   0.13937  0.07533 -2.75506
   0.12576  0.07185 -2.93778
   0.11254  0.06815 -3.13704
   0.09978  0.06426 -3.35851
   0.08762  0.06020 -3.60381
   0.07622  0.05606 -3.87945
   0.06572  0.05190 -4.18402
   0.05625  0.04782 -4.52206
   0.04786  0.04389 -4.89393
   0.04055  0.04017 -5.29574
   0.03423  0.03668 -5.73067
   0.02879  0.03343 -6.19661
   0.02411  0.03040 -6.69713
   0.02008  0.02756 -7.23805
   0.01660  0.02489 -7.81133
   0.01357  0.02236 -8.42358
   0.01095  0.01995 -9.08052
   0.00867  0.01764 -9.76062
   0.00671  0.01541-10.46277
   0.00502  0.01324-11.24504
   0.00360  0.01113-12.66457
   0.00242  0.00906-13.08669
   0.00148  0.00703-13.67374
   0.00077  0.00504-14.19328
   0.00029  0.00309-14.48406
   0.00004  0.00120-14.43708
   0.00001 -0.00064-14.08435
   0.00020 -0.00249-13.35874
   0.00065 -0.00436-12.17623
   0.00137 -0.00623-10.57301
   0.00239 -0.00805 -8.72577
   0.00369 -0.00980 -6.90519
   0.00527 -0.01148 -5.24028
   0.00712 -0.01307 -3.84448
   0.00925 -0.01459 -2.71051
   0.01167 -0.01603 -1.81210
   0.01438 -0.01741 -1.10533
   0.01744 -0.01873 -0.56100
   0.02087 -0.02000 -0.13809
   0.02476 -0.02123  0.18841
   0.02916 -0.02242  0.43796
   0.03419 -0.02357  0.62686
   0.03998 -0.02467  0.76707
   0.04667 -0.02572  0.86778
   0.05445 -0.02670  0.93586
   0.06345 -0.02758  0.97689
   0.07377 -0.02833  0.99651
   0.08543 -0.02891  0.99940
   0.09832 -0.02929  0.99033
   0.11223 -0.02947  0.97337
   0.12696 -0.02945  0.95212
   0.14228 -0.02924  0.92844
   0.15806 -0.02887  0.90430
   0.17418 -0.02837  0.88036
   0.19056 -0.02776  0.85698
   0.20714 -0.02707  0.83482
   0.22389 -0.02630  0.81345
   0.24078 -0.02549  0.79305
   0.25777 -0.02465  0.77389
   0.27484 -0.02379  0.75542
   0.29194 -0.02292  0.73761
   0.30901 -0.02207  0.72083
   0.32603 -0.02124  0.70447
   0.34301 -0.02043  0.68851
   0.35994 -0.01967  0.67274
   0.37686 -0.01894  0.65704
   0.39378 -0.01827  0.64067
   0.41076 -0.01762  0.62266
   0.42781 -0.01697  0.60653
   0.44491 -0.01629  0.59105
   0.46204 -0.01560  0.57656
   0.47921 -0.01490  0.56206
   0.49639 -0.01420  0.54795
   0.51357 -0.01350  0.53426
   0.53074 -0.01280  0.52063
   0.54790 -0.01211  0.50711
   0.56503 -0.01143  0.49351
   0.58215 -0.01076  0.48051
   0.59926 -0.01011  0.46679
   0.61635 -0.00947  0.45375
   0.63342 -0.00885  0.43980
   0.65049 -0.00825  0.42630
   0.66755 -0.00768  0.41237
   0.68459 -0.00712  0.39773
   0.70164 -0.00659  0.38369
   0.71867 -0.00608  0.36818
   0.73570 -0.00560  0.35298
   0.75273 -0.00514  0.33662
   0.76976 -0.00471  0.32034
   0.78678 -0.00431  0.30239
   0.80381 -0.00393  0.28473
   0.82084 -0.00357  0.26493
   0.83786 -0.00324  0.24453
   0.85489 -0.00294  0.22228
   0.87190 -0.00266  0.19841
   0.88889 -0.00241  0.17332
   0.90581 -0.00218  0.14423
   0.92258 -0.00197  0.11283
   0.93902 -0.00179  0.07771
   0.95483 -0.00163  0.03728
   0.96953 -0.00150 -0.00614
   0.98258 -0.00139 -0.05984
   0.99368 -0.00131 -0.10442
   1.00000 -0.00126 -0.26817
