NACA 2412                                       
 Alfa =  20.00000 Re =  9000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.11456
   0.99381  0.00254 -0.11668
   0.98304  0.00473 -0.12037
   0.97049  0.00724 -0.12472
   0.95646  0.01001 -0.12963
   0.94138  0.01291 -0.13499
   0.92569  0.01588 -0.14066
   0.90967  0.01884 -0.14655
   0.89346  0.02176 -0.15261
   0.87717  0.02463 -0.15882
   0.86082  0.02745 -0.16516
   0.84444  0.03020 -0.17161
   0.82804  0.03289 -0.17816
   0.81162  0.03552 -0.18481
   0.79519  0.03809 -0.19154
   0.77875  0.04059 -0.19833
   0.76230  0.04302 -0.20515
   0.74585  0.04539 -0.21195
   0.72938  0.04769 -0.21866
   0.71292  0.04993 -0.22511
   0.69645  0.05210 -0.23094
   0.67998  0.05420 -0.23520
   0.66350  0.05624 -0.23463
   0.64703  0.05820 -0.23194
   0.63056  0.06009 -0.25136
   0.61410  0.06191 -0.27998
   0.59764  0.06366 -0.31686
   0.58118  0.06533 -0.36077
   0.56474  0.06692 -0.41051
   0.54830  0.06843 -0.46472
   0.53188  0.06985 -0.52248
   0.51547  0.07120 -0.58258
   0.49907  0.07245 -0.64473
   0.48270  0.07362 -0.70819
   0.46635  0.07469 -0.77349
   0.45002  0.07567 -0.83999
   0.43373  0.07654 -0.90840
   0.41749  0.07732 -0.97944
   0.40134  0.07798 -1.05379
   0.38529  0.07852 -1.13121
   0.36934  0.07891 -1.20796
   0.35345  0.07914 -1.28617
   0.33762  0.07922 -1.36569
   0.32184  0.07915 -1.44773
   0.30612  0.07891 -1.53220
   0.29046  0.07850 -1.61962
   0.27487  0.07791 -1.71136
   0.25935  0.07715 -1.80689
   0.24392  0.07620 -1.90764
   0.22859  0.07506 -2.01454
   0.21338  0.07373 -2.12784
   0.19829  0.07219 -2.24963
   0.18335  0.07044 -2.38120
   0.16859  0.06848 -2.52370
   0.15405  0.06629 -2.68052
   0.13978  0.06389 -2.85301
   0.12584  0.06127 -3.04534
   0.11233  0.05844 -3.26064
   0.09937  0.05542 -3.50280
   0.08711  0.05226 -3.77626
   0.07571  0.04901 -4.08334
   0.06532  0.04573 -4.42533
   0.05602  0.04251 -4.80490
   0.04785  0.03938 -5.21850
   0.04073  0.03640 -5.66701
   0.03458  0.03357 -6.15082
   0.02925  0.03090 -6.67233
   0.02465  0.02837 -7.23040
   0.02064  0.02596 -7.82882
   0.01715  0.02365 -8.46947
   0.01410  0.02143 -9.15288
   0.01144  0.01929 -9.87239
   0.00910  0.01719-10.60992
   0.00708  0.01514-11.36326
   0.00532  0.01312-12.85387
   0.00383  0.01112-13.50290
   0.00259  0.00913-14.05819
   0.00160  0.00716-14.66947
   0.00085  0.00521-15.05692
   0.00034  0.00329-15.10782
   0.00006  0.00140-14.75920
   0.00001 -0.00042-14.07123
   0.00017 -0.00227-13.07044
   0.00057 -0.00415-11.69834
   0.00123 -0.00604-10.03693
   0.00216 -0.00791 -8.25935
   0.00337 -0.00974 -6.54698
   0.00484 -0.01154 -5.02210
   0.00657 -0.01328 -3.72476
   0.00858 -0.01499 -2.66245
   0.01087 -0.01666 -1.80593
   0.01347 -0.01829 -1.12561
   0.01640 -0.01991 -0.58865
   0.01971 -0.02152 -0.16802
   0.02346 -0.02312  0.16083
   0.02772 -0.02473  0.41505
   0.03259 -0.02635  0.60922
   0.03819 -0.02799  0.75467
   0.04464 -0.02964  0.86002
   0.05210 -0.03130  0.93139
   0.06070 -0.03295  0.97523
   0.07053 -0.03455  0.99622
   0.08159 -0.03607  0.99935
   0.09381 -0.03747  0.98933
   0.10702 -0.03870  0.97040
   0.12102 -0.03975  0.94605
   0.13563 -0.04061  0.91885
   0.15070 -0.04129  0.89068
   0.16612 -0.04180  0.86236
   0.18181 -0.04215  0.83475
   0.19771 -0.04236  0.80822
   0.21379 -0.04244  0.78278
   0.23002 -0.04240  0.75844
   0.24636 -0.04227  0.73555
   0.26282 -0.04204  0.71355
   0.27936 -0.04174  0.69282
   0.29599 -0.04137  0.67275
   0.31270 -0.04093  0.65405
   0.32946 -0.04045  0.63541
   0.34629 -0.03992  0.61808
   0.36315 -0.03936  0.60088
   0.38005 -0.03876  0.58415
   0.39694 -0.03814  0.56702
   0.41378 -0.03750  0.55017
   0.43058 -0.03681  0.53447
   0.44740 -0.03606  0.51967
   0.46423 -0.03528  0.50563
   0.48108 -0.03446  0.49150
   0.49795 -0.03360  0.47842
   0.51485 -0.03271  0.46537
   0.53177 -0.03179  0.45252
   0.54871 -0.03085  0.44035
   0.56567 -0.02988  0.42767
   0.58264 -0.02889  0.41583
   0.59963 -0.02788  0.40365
   0.61664 -0.02685  0.39186
   0.63366 -0.02581  0.37968
   0.65068 -0.02475  0.36826
   0.66772 -0.02369  0.35594
   0.68477 -0.02261  0.34399
   0.70182 -0.02152  0.33188
   0.71888 -0.02043  0.31964
   0.73594 -0.01932  0.30716
   0.75301 -0.01821  0.29413
   0.77008 -0.01709  0.28143
   0.78715 -0.01597  0.26769
   0.80422 -0.01484  0.25340
   0.82128 -0.01370  0.23939
   0.83834 -0.01256  0.22427
   0.85538 -0.01141  0.20773
   0.87240 -0.01026  0.19158
   0.88939 -0.00910  0.17224
   0.90628 -0.00793  0.15392
   0.92300 -0.00677  0.13185
   0.93937 -0.00562  0.10835
   0.95508 -0.00451  0.08246
   0.96967 -0.00347  0.05340
   0.98263 -0.00253  0.01904
   0.99369 -0.00172 -0.00733
   1.00000 -0.00126 -0.11456
