NACA 2412                                       
 Alfa =  21.00000 Re =  9000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.15436
   0.99381  0.00254 -0.15648
   0.98304  0.00473 -0.16019
   0.97049  0.00724 -0.16457
   0.95646  0.01001 -0.16955
   0.94138  0.01291 -0.17499
   0.92569  0.01588 -0.18077
   0.90967  0.01884 -0.18681
   0.89346  0.02176 -0.19305
   0.87717  0.02463 -0.19947
   0.86082  0.02745 -0.20606
   0.84444  0.03020 -0.21282
   0.82804  0.03289 -0.21974
   0.81162  0.03552 -0.22684
   0.79519  0.03809 -0.23411
   0.77875  0.04059 -0.24155
   0.76230  0.04302 -0.24916
   0.74585  0.04539 -0.25694
   0.72938  0.04769 -0.26486
   0.71292  0.04993 -0.27293
   0.69645  0.05210 -0.28111
   0.67998  0.05420 -0.28938
   0.66350  0.05624 -0.29770
   0.64703  0.05820 -0.30599
   0.63056  0.06009 -0.31410
   0.61410  0.06191 -0.32174
   0.59764  0.06366 -0.32803
   0.58118  0.06533 -0.33002
   0.56474  0.06692 -0.32477
   0.54830  0.06843 -0.34772
   0.53188  0.06985 -0.38339
   0.51547  0.07120 -0.43021
   0.49907  0.07245 -0.48651
   0.48270  0.07362 -0.55014
   0.46635  0.07469 -0.61952
   0.45002  0.07567 -0.69285
   0.43373  0.07654 -0.76935
   0.41749  0.07732 -0.84879
   0.40134  0.07798 -0.93128
   0.38529  0.07852 -1.01634
   0.36934  0.07891 -1.10090
   0.35345  0.07914 -1.18658
   0.33762  0.07922 -1.27300
   0.32184  0.07915 -1.36185
   0.30612  0.07891 -1.45262
   0.29046  0.07850 -1.54617
   0.27487  0.07791 -1.64359
   0.25935  0.07715 -1.74491
   0.24392  0.07620 -1.85126
   0.22859  0.07506 -1.96337
   0.21338  0.07373 -2.08302
   0.19829  0.07219 -2.21029
   0.18335  0.07044 -2.34767
   0.16859  0.06848 -2.49714
   0.15405  0.06629 -2.66015
   0.13978  0.06389 -2.84014
   0.12584  0.06127 -3.04023
   0.11233  0.05844 -3.26443
   0.09937  0.05542 -3.51645
   0.08711  0.05226 -3.80036
   0.07571  0.04901 -4.11926
   0.06532  0.04573 -4.47572
   0.05602  0.04251 -4.86945
   0.04785  0.03938 -5.29988
   0.04073  0.03640 -5.76777
   0.03458  0.03357 -6.27015
   0.02925  0.03090 -6.81345
   0.02465  0.02837 -7.39712
   0.02064  0.02596 -8.02190
   0.01715  0.02365 -8.69365
   0.01410  0.02143 -9.40766
   0.01144  0.01929-10.16899
   0.00910  0.01719-10.94625
   0.00708  0.01514-11.76262
   0.00532  0.01312-13.16863
   0.00383  0.01112-14.06021
   0.00259  0.00913-14.61134
   0.00160  0.00716-15.26002
   0.00085  0.00521-15.69867
   0.00034  0.00329-15.78608
   0.00006  0.00140-15.44720
   0.00001 -0.00042-14.78866
   0.00017 -0.00227-13.77062
   0.00057 -0.00415-12.35169
   0.00123 -0.00604-10.64548
   0.00216 -0.00791 -8.80377
   0.00337 -0.00974 -7.02720
   0.00484 -0.01154 -5.42645
   0.00657 -0.01328 -4.06565
   0.00858 -0.01499 -2.94465
   0.01087 -0.01666 -2.03793
   0.01347 -0.01829 -1.31656
   0.01640 -0.01991 -0.74465
   0.01971 -0.02152 -0.29424
   0.02346 -0.02312  0.05976
   0.02772 -0.02473  0.33621
   0.03259 -0.02635  0.54846
   0.03819 -0.02799  0.70916
   0.04464 -0.02964  0.82744
   0.05210 -0.03130  0.90990
   0.06070 -0.03295  0.96269
   0.07053 -0.03455  0.99100
   0.08159 -0.03607  0.99997
   0.09381 -0.03747  0.99446
   0.10702 -0.03870  0.97892
   0.12102 -0.03975  0.95711
   0.13563 -0.04061  0.93168
   0.15070 -0.04129  0.90476
   0.16612 -0.04180  0.87725
   0.18181 -0.04215  0.85027
   0.19771 -0.04236  0.82397
   0.21379 -0.04244  0.79871
   0.23002 -0.04240  0.77429
   0.24636 -0.04227  0.75134
   0.26282 -0.04204  0.72907
   0.27936 -0.04174  0.70806
   0.29599 -0.04137  0.68773
   0.31270 -0.04093  0.66848
   0.32946 -0.04045  0.64969
   0.34629 -0.03992  0.63175
   0.36315 -0.03936  0.61417
   0.38005 -0.03876  0.59682
   0.39694 -0.03814  0.57943
   0.41378 -0.03750  0.56195
   0.43058 -0.03681  0.54583
   0.44740 -0.03606  0.53045
   0.46423 -0.03528  0.51580
   0.48108 -0.03446  0.50119
   0.49795 -0.03360  0.48743
   0.51485 -0.03271  0.47379
   0.53177 -0.03179  0.46026
   0.54871 -0.03085  0.44746
   0.56567 -0.02988  0.43415
   0.58264 -0.02889  0.42161
   0.59963 -0.02788  0.40868
   0.61664 -0.02685  0.39620
   0.63366 -0.02581  0.38328
   0.65068 -0.02475  0.37109
   0.66772 -0.02369  0.35794
   0.68477 -0.02261  0.34519
   0.70182 -0.02152  0.33220
   0.71888 -0.02043  0.31909
   0.73594 -0.01932  0.30568
   0.75301 -0.01821  0.29166
   0.77008 -0.01709  0.27795
   0.78715 -0.01597  0.26311
   0.80422 -0.01484  0.24765
   0.82128 -0.01370  0.23248
   0.83834 -0.01256  0.21596
   0.85538 -0.01141  0.19808
   0.87240 -0.01026  0.18037
   0.88939 -0.00910  0.15932
   0.90628 -0.00793  0.13922
   0.92300 -0.00677  0.11507
   0.93937 -0.00562  0.08927
   0.95508 -0.00451  0.06081
   0.96967 -0.00347  0.02887
   0.98263 -0.00253 -0.00887
   0.99369 -0.00172 -0.03807
   1.00000 -0.00126 -0.15436
