NACA 2412                                       
 Alfa =  18.00000 Re =  9000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.03235
   0.99381  0.00254 -0.03423
   0.98304  0.00473 -0.03749
   0.97049  0.00724 -0.04126
   0.95646  0.01001 -0.04546
   0.94138  0.01291 -0.04996
   0.92569  0.01588 -0.05460
   0.90967  0.01884 -0.05928
   0.89346  0.02176 -0.06390
   0.87717  0.02463 -0.06830
   0.86082  0.02745 -0.07225
   0.84444  0.03020 -0.07515
   0.82804  0.03289 -0.07541
   0.81162  0.03552 -0.06941
   0.79519  0.03809 -0.07769
   0.77875  0.04059 -0.09447
   0.76230  0.04302 -0.11696
   0.74585  0.04539 -0.14465
   0.72938  0.04769 -0.17684
   0.71292  0.04993 -0.21281
   0.69645  0.05210 -0.25187
   0.67998  0.05420 -0.29311
   0.66350  0.05624 -0.33638
   0.64703  0.05820 -0.38060
   0.63056  0.06009 -0.42601
   0.61410  0.06191 -0.47197
   0.59764  0.06366 -0.51866
   0.58118  0.06533 -0.56574
   0.56474  0.06692 -0.61348
   0.54830  0.06843 -0.66183
   0.53188  0.06985 -0.71123
   0.51547  0.07120 -0.76129
   0.49907  0.07245 -0.81278
   0.48270  0.07362 -0.86530
   0.46635  0.07469 -0.91987
   0.45002  0.07567 -0.97593
   0.43373  0.07654 -1.03432
   0.41749  0.07732 -1.09597
   0.40134  0.07798 -1.16166
   0.38529  0.07852 -1.23058
   0.36934  0.07891 -1.29875
   0.35345  0.07914 -1.36807
   0.33762  0.07922 -1.43907
   0.32184  0.07915 -1.51232
   0.30612  0.07891 -1.58808
   0.29046  0.07850 -1.66648
   0.27487  0.07791 -1.74940
   0.25935  0.07715 -1.83542
   0.24392  0.07620 -1.92661
   0.22859  0.07506 -2.02310
   0.21338  0.07373 -2.12591
   0.19829  0.07219 -2.23601
   0.18335  0.07044 -2.35506
   0.16859  0.06848 -2.48456
   0.15405  0.06629 -2.62631
   0.13978  0.06389 -2.78278
   0.12584  0.06127 -2.95651
   0.11233  0.05844 -3.15115
   0.09937  0.05542 -3.37104
   0.08711  0.05226 -3.61676
   0.07571  0.04901 -3.89482
   0.06532  0.04573 -4.20244
   0.05602  0.04251 -4.54391
   0.04785  0.03938 -4.91467
   0.04073  0.03640 -5.31814
   0.03458  0.03357 -5.75095
   0.02925  0.03090 -6.21431
   0.02465  0.02837 -6.71211
   0.02064  0.02596 -7.24157
   0.01715  0.02365 -7.80784
   0.01410  0.02143 -8.40749
   0.01144  0.01929 -9.03097
   0.00910  0.01719 -9.67695
   0.00708  0.01514-10.40097
   0.00532  0.01312-11.67729
   0.00383  0.01112-12.08123
   0.00259  0.00913-12.62190
   0.00160  0.00716-13.12007
   0.00085  0.00521-13.39510
   0.00034  0.00329-13.35772
   0.00006  0.00140-12.97222
   0.00001 -0.00042-12.28895
   0.00017 -0.00227-11.32244
   0.00057 -0.00415-10.04240
   0.00123 -0.00604 -8.51467
   0.00216 -0.00791 -6.91475
   0.00337 -0.00974 -5.39618
   0.00484 -0.01154 -4.04255
   0.00657 -0.01328 -2.91337
   0.00858 -0.01499 -1.98956
   0.01087 -0.01666 -1.25755
   0.01347 -0.01829 -0.67879
   0.01640 -0.01991 -0.22981
   0.01971 -0.02152  0.11813
   0.02346 -0.02312  0.38673
   0.02772 -0.02473  0.58968
   0.03259 -0.02635  0.74090
   0.03819 -0.02799  0.85050
   0.04464 -0.02964  0.92543
   0.05210 -0.03130  0.97190
   0.06070 -0.03295  0.99513
   0.07053 -0.03455  0.99961
   0.08159 -0.03607  0.98981
   0.09381 -0.03747  0.96991
   0.10702 -0.03870  0.94370
   0.12102 -0.03975  0.91414
   0.13563 -0.04061  0.88321
   0.15070 -0.04129  0.85241
   0.16612 -0.04180  0.82260
   0.18181 -0.04215  0.79409
   0.19771 -0.04236  0.76713
   0.21379 -0.04244  0.74156
   0.23002 -0.04240  0.71749
   0.24636 -0.04227  0.69510
   0.26282 -0.04204  0.67373
   0.27936 -0.04174  0.65365
   0.29599 -0.04137  0.63454
   0.31270 -0.04093  0.61664
   0.32946 -0.04045  0.59914
   0.34629 -0.03992  0.58273
   0.36315 -0.03936  0.56667
   0.38005 -0.03876  0.55089
   0.39694 -0.03814  0.53495
   0.41378 -0.03750  0.51907
   0.43058 -0.03681  0.50457
   0.44740 -0.03606  0.49098
   0.46423 -0.03528  0.47815
   0.48108 -0.03446  0.46540
   0.49795 -0.03360  0.45353
   0.51485 -0.03271  0.44186
   0.53177 -0.03179  0.43033
   0.54871 -0.03085  0.41957
   0.56567 -0.02988  0.40839
   0.58264 -0.02889  0.39797
   0.59963 -0.02788  0.38726
   0.61664 -0.02685  0.37704
   0.63366 -0.02581  0.36641
   0.65068 -0.02475  0.35659
   0.66772 -0.02369  0.34600
   0.68477 -0.02261  0.33574
   0.70182 -0.02152  0.32547
   0.71888 -0.02043  0.31502
   0.73594 -0.01932  0.30451
   0.75301 -0.01821  0.29358
   0.77008 -0.01709  0.28298
   0.78715 -0.01597  0.27149
   0.80422 -0.01484  0.25967
   0.82128 -0.01370  0.24817
   0.83834 -0.01256  0.23582
   0.85538 -0.01141  0.22233
   0.87240 -0.01026  0.20935
   0.88939 -0.00910  0.19370
   0.90628 -0.00793  0.17921
   0.92300 -0.00677  0.16170
   0.93937 -0.00562  0.14319
   0.95508 -0.00451  0.12302
   0.96967 -0.00347  0.10041
   0.98263 -0.00253  0.07373
   0.99369 -0.00172  0.05419
   1.00000 -0.00126 -0.03235
