NACA 2412                                       
 Alfa =  22.00000 Re =  9000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.19519
   0.99381  0.00254 -0.19722
   0.98304  0.00473 -0.20078
   0.97049  0.00724 -0.20499
   0.95646  0.01001 -0.20979
   0.94138  0.01291 -0.21505
   0.92569  0.01588 -0.22066
   0.90967  0.01884 -0.22654
   0.89346  0.02176 -0.23264
   0.87717  0.02463 -0.23895
   0.86082  0.02745 -0.24545
   0.84444  0.03020 -0.25216
   0.82804  0.03289 -0.25907
   0.81162  0.03552 -0.26618
   0.79519  0.03809 -0.27351
   0.77875  0.04059 -0.28105
   0.76230  0.04302 -0.28882
   0.74585  0.04539 -0.29682
   0.72938  0.04769 -0.30504
   0.71292  0.04993 -0.31351
   0.69645  0.05210 -0.32221
   0.67998  0.05420 -0.33116
   0.66350  0.05624 -0.34035
   0.64703  0.05820 -0.34980
   0.63056  0.06009 -0.35947
   0.61410  0.06191 -0.36937
   0.59764  0.06366 -0.37945
   0.58118  0.06533 -0.38968
   0.56474  0.06692 -0.39999
   0.54830  0.06843 -0.41030
   0.53188  0.06985 -0.42036
   0.51547  0.07120 -0.42962
   0.49907  0.07245 -0.43611
   0.48270  0.07362 -0.43143
   0.46635  0.07469 -0.44889
   0.45002  0.07567 -0.49215
   0.43373  0.07654 -0.55255
   0.41749  0.07732 -0.62722
   0.40134  0.07798 -0.71288
   0.38529  0.07852 -0.80613
   0.36934  0.07891 -0.90254
   0.35345  0.07914 -1.00085
   0.33762  0.07922 -1.10008
   0.32184  0.07915 -1.20038
   0.30612  0.07891 -1.30217
   0.29046  0.07850 -1.40556
   0.27487  0.07791 -1.51188
   0.25935  0.07715 -1.62156
   0.24392  0.07620 -1.73550
   0.22859  0.07506 -1.85510
   0.21338  0.07373 -1.98112
   0.19829  0.07219 -2.11500
   0.18335  0.07044 -2.25870
   0.16859  0.06848 -2.41486
   0.15405  0.06629 -2.58363
   0.13978  0.06389 -2.77020
   0.12584  0.06127 -2.97716
   0.11233  0.05844 -3.20815
   0.09937  0.05542 -3.46785
   0.08711  0.05226 -3.75955
   0.07571  0.04901 -4.08755
   0.06532  0.04573 -4.45282
   0.05602  0.04251 -4.85808
   0.04785  0.03938 -5.29829
   0.04073  0.03640 -5.77822
   0.03458  0.03357 -6.29494
   0.02925  0.03090 -6.85294
   0.02465  0.02837 -7.45060
   0.02064  0.02596 -8.09159
   0.01715  0.02365 -8.78552
   0.01410  0.02143 -9.52369
   0.01144  0.01929-10.30613
   0.00910  0.01719-11.12101
   0.00708  0.01514-11.96722
   0.00532  0.01312-13.30382
   0.00383  0.01112-14.39303
   0.00259  0.00913-14.93454
   0.00160  0.00716-15.60695
   0.00085  0.00521-16.08083
   0.00034  0.00329-16.19696
   0.00006  0.00140-15.88806
   0.00001 -0.00042-15.23448
   0.00017 -0.00227-14.21187
   0.00057 -0.00415-12.79209
   0.00123 -0.00604-11.06074
   0.00216 -0.00791 -9.17248
   0.00337 -0.00974 -7.35703
   0.00484 -0.01154 -5.70326
   0.00657 -0.01328 -4.30486
   0.00858 -0.01499 -3.14672
   0.01087 -0.01666 -2.20504
   0.01347 -0.01829 -1.45586
   0.01640 -0.01991 -0.85856
   0.01971 -0.02152 -0.38789
   0.02346 -0.02312 -0.01522
   0.02772 -0.02473  0.27591
   0.03259 -0.02635  0.50139
   0.03819 -0.02799  0.67380
   0.04464 -0.02964  0.80171
   0.05210 -0.03130  0.89202
   0.06070 -0.03295  0.95180
   0.07053 -0.03455  0.98569
   0.08159 -0.03607  0.99918
   0.09381 -0.03747  0.99719
   0.10702 -0.03870  0.98435
   0.12102 -0.03975  0.96459
   0.13563 -0.04061  0.94054
   0.15070 -0.04129  0.91462
   0.16612 -0.04180  0.88799
   0.18181 -0.04215  0.86132
   0.19771 -0.04236  0.83530
   0.21379 -0.04244  0.81005
   0.23002 -0.04240  0.78573
   0.24636 -0.04227  0.76253
   0.26282 -0.04204  0.74018
   0.27936 -0.04174  0.71899
   0.29599 -0.04137  0.69821
   0.31270 -0.04093  0.67875
   0.32946 -0.04045  0.65948
   0.34629 -0.03992  0.64115
   0.36315 -0.03936  0.62321
   0.38005 -0.03876  0.60551
   0.39694 -0.03814  0.58748
   0.41378 -0.03750  0.56963
   0.43058 -0.03681  0.55302
   0.44740 -0.03606  0.53714
   0.46423 -0.03528  0.52199
   0.48108 -0.03446  0.50673
   0.49795 -0.03360  0.49252
   0.51485 -0.03271  0.47816
   0.53177 -0.03179  0.46413
   0.54871 -0.03085  0.45066
   0.56567 -0.02988  0.43670
   0.58264 -0.02889  0.42349
   0.59963 -0.02788  0.40994
   0.61664 -0.02685  0.39669
   0.63366 -0.02581  0.38308
   0.65068 -0.02475  0.37014
   0.66772 -0.02369  0.35621
   0.68477 -0.02261  0.34266
   0.70182 -0.02152  0.32884
   0.71888 -0.02043  0.31484
   0.73594 -0.01932  0.30054
   0.75301 -0.01821  0.28553
   0.77008 -0.01709  0.27084
   0.78715 -0.01597  0.25495
   0.80422 -0.01484  0.23834
   0.82128 -0.01370  0.22201
   0.83834 -0.01256  0.20416
   0.85538 -0.01141  0.18494
   0.87240 -0.01026  0.16576
   0.88939 -0.00910  0.14305
   0.90628 -0.00793  0.12124
   0.92300 -0.00677  0.09510
   0.93937 -0.00562  0.06715
   0.95508 -0.00451  0.03628
   0.96967 -0.00347  0.00171
   0.98263 -0.00253 -0.03912
   0.99369 -0.00172 -0.07067
   1.00000 -0.00126 -0.19519
