NACA 2412                                       
 Alfa =  23.00000 Re =  9000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.23736
   0.99381  0.00254 -0.23922
   0.98304  0.00473 -0.24250
   0.97049  0.00724 -0.24637
   0.95646  0.01001 -0.25079
   0.94138  0.01291 -0.25563
   0.92569  0.01588 -0.26081
   0.90967  0.01884 -0.26623
   0.89346  0.02176 -0.27188
   0.87717  0.02463 -0.27772
   0.86082  0.02745 -0.28377
   0.84444  0.03020 -0.29001
   0.82804  0.03289 -0.29647
   0.81162  0.03552 -0.30314
   0.79519  0.03809 -0.31004
   0.77875  0.04059 -0.31719
   0.76230  0.04302 -0.32458
   0.74585  0.04539 -0.33224
   0.72938  0.04769 -0.34017
   0.71292  0.04993 -0.34839
   0.69645  0.05210 -0.35690
   0.67998  0.05420 -0.36572
   0.66350  0.05624 -0.37485
   0.64703  0.05820 -0.38431
   0.63056  0.06009 -0.39409
   0.61410  0.06191 -0.40421
   0.59764  0.06366 -0.41468
   0.58118  0.06533 -0.42549
   0.56474  0.06692 -0.43664
   0.54830  0.06843 -0.44816
   0.53188  0.06985 -0.46003
   0.51547  0.07120 -0.47225
   0.49907  0.07245 -0.48478
   0.48270  0.07362 -0.49757
   0.46635  0.07469 -0.51052
   0.45002  0.07567 -0.52347
   0.43373  0.07654 -0.53603
   0.41749  0.07732 -0.54685
   0.40134  0.07798 -0.54926
   0.38529  0.07852 -0.55753
   0.36934  0.07891 -0.61283
   0.35345  0.07914 -0.69443
   0.33762  0.07922 -0.79517
   0.32184  0.07915 -0.90809
   0.30612  0.07891 -1.02744
   0.29046  0.07850 -1.14940
   0.27487  0.07791 -1.27367
   0.25935  0.07715 -1.39914
   0.24392  0.07620 -1.52726
   0.22859  0.07506 -1.65911
   0.21338  0.07373 -1.79595
   0.19829  0.07219 -1.93965
   0.18335  0.07044 -2.09187
   0.16859  0.06848 -2.25531
   0.15405  0.06629 -2.43132
   0.13978  0.06389 -2.62481
   0.12584  0.06127 -2.83720
   0.11233  0.05844 -3.07387
   0.09937  0.05542 -3.33882
   0.08711  0.05226 -3.63546
   0.07571  0.04901 -3.96819
   0.06532  0.04573 -4.33891
   0.05602  0.04251 -4.74661
   0.04785  0.03938 -5.19333
   0.04073  0.03640 -5.67742
   0.03458  0.03357 -6.19924
   0.02925  0.03090 -6.76053
   0.02465  0.02837 -7.36324
   0.02064  0.02596 -8.01600
   0.01715  0.02365 -8.71116
   0.01410  0.02143 -9.45740
   0.01144  0.01929-10.25197
   0.00910  0.01719-11.08455
   0.00708  0.01514-11.94178
   0.00532  0.01312-13.20828
   0.00383  0.01112-14.43903
   0.00259  0.00913-14.96520
   0.00160  0.00716-15.64878
   0.00085  0.00521-16.14191
   0.00034  0.00329-16.28674
   0.00006  0.00140-15.99908
   0.00001 -0.00042-15.35310
   0.00017 -0.00227-14.35459
   0.00057 -0.00415-12.94328
   0.00123 -0.00604-11.20536
   0.00216 -0.00791 -9.31568
   0.00337 -0.00974 -7.49755
   0.00484 -0.01154 -5.82091
   0.00657 -0.01328 -4.41463
   0.00858 -0.01499 -3.24214
   0.01087 -0.01666 -2.28697
   0.01347 -0.01829 -1.52500
   0.01640 -0.01991 -0.92014
   0.01971 -0.02152 -0.43509
   0.02346 -0.02312 -0.05625
   0.02772 -0.02473  0.24160
   0.03259 -0.02635  0.47522
   0.03819 -0.02799  0.65284
   0.04464 -0.02964  0.78603
   0.05210 -0.03130  0.88113
   0.06070 -0.03295  0.94469
   0.07053 -0.03455  0.98200
   0.08159 -0.03607  0.99819
   0.09381 -0.03747  0.99841
   0.10702 -0.03870  0.98728
   0.12102 -0.03975  0.96875
   0.13563 -0.04061  0.94570
   0.15070 -0.04129  0.92049
   0.16612 -0.04180  0.89417
   0.18181 -0.04215  0.86787
   0.19771 -0.04236  0.84197
   0.21379 -0.04244  0.81675
   0.23002 -0.04240  0.79234
   0.24636 -0.04227  0.76909
   0.26282 -0.04204  0.74653
   0.27936 -0.04174  0.72499
   0.29599 -0.04137  0.70399
   0.31270 -0.04093  0.68422
   0.32946 -0.04045  0.66467
   0.34629 -0.03992  0.64593
   0.36315 -0.03936  0.62754
   0.38005 -0.03876  0.60948
   0.39694 -0.03814  0.59109
   0.41378 -0.03750  0.57280
   0.43058 -0.03681  0.55570
   0.44740 -0.03606  0.53925
   0.46423 -0.03528  0.52372
   0.48108 -0.03446  0.50784
   0.49795 -0.03360  0.49315
   0.51485 -0.03271  0.47825
   0.53177 -0.03179  0.46361
   0.54871 -0.03085  0.44952
   0.56567 -0.02988  0.43501
   0.58264 -0.02889  0.42116
   0.59963 -0.02788  0.40689
   0.61664 -0.02685  0.39308
   0.63366 -0.02581  0.37869
   0.65068 -0.02475  0.36508
   0.66772 -0.02369  0.35038
   0.68477 -0.02261  0.33606
   0.70182 -0.02152  0.32140
   0.71888 -0.02043  0.30657
   0.73594 -0.01932  0.29143
   0.75301 -0.01821  0.27544
   0.77008 -0.01709  0.25981
   0.78715 -0.01597  0.24288
   0.80422 -0.01484  0.22518
   0.82128 -0.01370  0.20769
   0.83834 -0.01256  0.18860
   0.85538 -0.01141  0.16809
   0.87240 -0.01026  0.14749
   0.88939 -0.00910  0.12321
   0.90628 -0.00793  0.09976
   0.92300 -0.00677  0.07178
   0.93937 -0.00562  0.04176
   0.95508 -0.00451  0.00872
   0.96967 -0.00347 -0.02825
   0.98263 -0.00253 -0.07187
   0.99369 -0.00172 -0.10525
   1.00000 -0.00126 -0.23736
